order,pit,id,clutch,site,urb.cat,treat,cross.over,urban.index,enclo,tub,mass ,svl,type,measure,b.temp
1,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,49,107,bark,2.9,24.5
2,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,49,107,bark,3.4,25
3,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,49,107,bark,3.45,25.5
1,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,38.8,98,bark,2.45,24
2,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,38.8,98,bark,2.45,24.5
3,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,38.8,98,bark,2.1,25
1,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,30.1,93,bark,3.15,24
2,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,30.1,93,bark,2.1,25
3,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,30.1,93,bark,2.9,25
1,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,37.8,104,bark,3.05,24
2,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,37.8,104,bark,3.05,24.5
3,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,37.8,104,bark,2.75,24.5
1,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,34.7,101,bark,2.75,23
2,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,34.7,101,bark,2.45,23.5
3,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,34.7,101,bark,3.15,23
1,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,39.3,102,bark,3.05,23.5
2,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,39.3,102,bark,3.15,24.5
3,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,39.3,102,bark,3,25
1,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,21.2,83,bark,2.35,24
2,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,21.2,83,bark,2.6,24
3,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,21.2,83,bark,2.25,24
1,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,52.3,107,bark,4.1,24
2,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,52.3,107,bark,3.65,25
3,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,52.3,107,bark,3.65,25.5
1,9.00E+14,7025,BW002,BW,n,N,nN,48.65329374,N1,N1.3,37,101,bark,3.6,23.5
2,9.00E+14,7025,BW002,BW,n,N,nN,48.65329374,N1,N1.3,37,101,bark,3.25,23.5
3,9.00E+14,7025,BW002,BW,n,N,nN,48.65329374,N1,N1.3,37,101,bark,3.35,23.5
1,9.00E+14,10600,BW003,BW,n,N,nN,48.65329374,N1,N1.3,44.5,105,bark,3.05,24
2,9.00E+14,10600,BW003,BW,n,N,nN,48.65329374,N1,N1.3,44.5,105,bark,3.35,24
3,9.00E+14,10600,BW003,BW,n,N,nN,48.65329374,N1,N1.3,44.5,105,bark,3,24
1,9.00E+14,10615,TZ003,TZ,u,N,uN,59.13762436,N1,N1.3,26.2,89,bark,2.45,24
2,9.00E+14,10615,TZ003,TZ,u,N,uN,59.13762436,N1,N1.3,26.2,89,bark,2,24.5
3,9.00E+14,10615,TZ003,TZ,u,N,uN,59.13762436,N1,N1.3,26.2,89,bark,2,25
1,9.00E+14,10641,CG005,CG,u,N,uN,0.369364169,N1,N1.3,28.4,92,bark,2.95,24
