order,pit,id,clutch,site,urb.cat,treat,cross.over,urban.index,enclo,tub,mass ,svl,type,measure,b.temp
2,9.00E+14,10641,CG005,CG,u,N,uN,0.369364169,N1,N1.3,28.4,92,bark,2.7,23.5
3,9.00E+14,10641,CG005,CG,u,N,uN,0.369364169,N1,N1.3,28.4,92,bark,2.25,24.5
1,9.00E+14,7137,TZ007,TZ,u,N,uN,59.13762436,N2,N2.1,32.1,93,bark,3.5,23
2,9.00E+14,7137,TZ007,TZ,u,N,uN,59.13762436,N2,N2.1,32.1,93,bark,2.6,23
3,9.00E+14,7137,TZ007,TZ,u,N,uN,59.13762436,N2,N2.1,32.1,93,bark,3.15,23.5
1,9.00E+14,7157,TZ011,TZ,u,N,uN,60.15863793,N2,N2.1,37.6,99,bark,4.6,23
2,9.00E+14,7157,TZ011,TZ,u,N,uN,60.15863793,N2,N2.1,37.6,99,bark,3.6,23
3,9.00E+14,7157,TZ011,TZ,u,N,uN,60.15863793,N2,N2.1,37.6,99,bark,3.9,23
1,9.00E+14,7159,LN001,LN,n,N,nN,91.15343572,N2,N2.1,41.5,97,bark,3.75,23
2,9.00E+14,7159,LN001,LN,n,N,nN,91.15343572,N2,N2.1,41.5,97,bark,3.65,24
3,9.00E+14,7159,LN001,LN,n,N,nN,91.15343572,N2,N2.1,41.5,97,bark,3.85,25
1,9.00E+14,7134,LN017,LN,n,N,nN,90.31310792,N2,N2.2,32.2,99,bark,3.6,24.5
2,9.00E+14,7134,LN017,LN,n,N,nN,90.31310792,N2,N2.2,32.2,99,bark,3.45,24.5
3,9.00E+14,7134,LN017,LN,n,N,nN,90.31310792,N2,N2.2,32.2,99,bark,2.45,24.5
1,9.00E+14,7136,LN004,LN,n,N,nN,91.15343572,N2,N2.2,27.2,90,bark,2.15,24.5
2,9.00E+14,7136,LN004,LN,n,N,nN,91.15343572,N2,N2.2,27.2,90,bark,2.65,24
3,9.00E+14,7136,LN004,LN,n,N,nN,91.15343572,N2,N2.2,27.2,90,bark,2.1,24
1,9.00E+14,7266,LN007,LN,n,N,nN,91.15343572,N2,N2.2,47.9,107,bark,4.25,24
2,9.00E+14,7266,LN007,LN,n,N,nN,91.15343572,N2,N2.2,47.9,107,bark,4,24.5
3,9.00E+14,7266,LN007,LN,n,N,nN,91.15343572,N2,N2.2,47.9,107,bark,4,24.5
1,9.00E+14,7236,TZ009,TZ,u,N,uN,59.13762436,N2,N2.3,32.7,95,bark,2.95,24
2,9.00E+14,7236,TZ009,TZ,u,N,uN,59.13762436,N2,N2.3,32.7,95,bark,2.65,24.5
3,9.00E+14,7236,TZ009,TZ,u,N,uN,59.13762436,N2,N2.3,32.7,95,bark,2,25
1,9.00E+14,7250,CG005,CG,u,N,uN,0.369364169,N2,N2.3,51.5,113,bark,3.5,24
2,9.00E+14,7250,CG005,CG,u,N,uN,0.369364169,N2,N2.3,51.5,113,bark,4.1,24.5
3,9.00E+14,7250,CG005,CG,u,N,uN,0.369364169,N2,N2.3,51.5,113,bark,4.1,25
1,9.00E+14,10250,MB010,MB,u,N,uN,32.06530564,N2,N2.3,31.9,99,bark,2.8,24.5
2,9.00E+14,10250,MB010,MB,u,N,uN,32.06530564,N2,N2.3,31.9,99,bark,3.45,25
3,9.00E+14,10250,MB010,MB,u,N,uN,32.06530564,N2,N2.3,31.9,99,bark,3.8,26
1,9.00E+14,10610,MB006,MB,u,N,uN,37.3077438,N2,N2.3,37.7,96,bark,3.4,24
2,9.00E+14,10610,MB006,MB,u,N,uN,37.3077438,N2,N2.3,37.7,96,bark,2.45,25
3,9.00E+14,10610,MB006,MB,u,N,uN,37.3077438,N2,N2.3,37.7,96,bark,3.4,26
1,9.00E+14,7121,TZ007,TZ,u,N,uN,59.13762436,N3,N3.1,29.3,90,bark,2.5,24
2,9.00E+14,7121,TZ007,TZ,u,N,uN,59.13762436,N3,N3.1,29.3,90,bark,3.5,24
3,9.00E+14,7121,TZ007,TZ,u,N,uN,59.13762436,N3,N3.1,29.3,90,bark,2.5,24
1,9.00E+14,7129,CG003,CG,u,N,uN,0.369364169,N3,N3.1,53.1,111,bark,4.25,23
2,9.00E+14,7129,CG003,CG,u,N,uN,0.369364169,N3,N3.1,53.1,111,bark,6.1,24
3,9.00E+14,7129,CG003,CG,u,N,uN,0.369364169,N3,N3.1,53.1,111,bark,4.5,24
1,9.00E+14,7197,CG001,CG,u,N,uN,0.369364169,N3,N3.1,44.9,104,bark,3.8,23.5
2,9.00E+14,7197,CG001,CG,u,N,uN,0.369364169,N3,N3.1,44.9,104,bark,4.5,24
3,9.00E+14,7197,CG001,CG,u,N,uN,0.369364169,N3,N3.1,44.9,104,bark,3.5,24
1,9.00E+14,7257,LN007,LN,n,N,nN,91.15343572,N3,N3.2,52,110,bark,3.8,24
2,9.00E+14,7257,LN007,LN,n,N,nN,91.15343572,N3,N3.2,52,110,bark,4.25,24
3,9.00E+14,7257,LN007,LN,n,N,nN,91.15343572,N3,N3.2,52,110,bark,4.25,24
1,9.00E+14,7293,LN008,LN,n,N,nN,91.15343572,N3,N3.2,42.4,105,bark,4.1,24
2,9.00E+14,7293,LN008,LN,n,N,nN,91.15343572,N3,N3.2,42.4,105,bark,3.5,24.5
3,9.00E+14,7293,LN008,LN,n,N,nN,91.15343572,N3,N3.2,42.4,105,bark,4.8,24.5
1,9.00E+14,7300,LN009,LN,n,N,nN,91.15343572,N3,N3.2,33,98,bark,3.6,24
2,9.00E+14,7300,LN009,LN,n,N,nN,91.15343572,N3,N3.2,33,98,bark,3.25,24
3,9.00E+14,7300,LN009,LN,n,N,nN,91.15343572,N3,N3.2,33,98,bark,2.6,24.5
1,9.00E+14,10234,GR007,GR,n,N,nN,100,N3,N3.3,31.7,94,bark,2.8,24
2,9.00E+14,10234,GR007,GR,n,N,nN,100,N3,N3.3,31.7,94,bark,3.15,24
3,9.00E+14,10234,GR007,GR,n,N,nN,100,N3,N3.3,31.7,94,bark,3.3,24
1,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,33.9,95,bark,3.6,23.5
2,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,33.9,95,bark,3.75,24
3,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,33.9,95,bark,3.75,24.5
1,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,37.7,98,bark,2.75,23
2,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,37.7,98,bark,3,24.5
3,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,37.7,98,bark,2.9,24.5
1,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,31.9,95,bark,2.45,24
2,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,31.9,95,bark,3,24
3,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,31.9,95,bark,3.35,24.5
1,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,30.8,91,bark,3.55,23
2,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,30.8,91,bark,3.2,24
3,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,30.8,91,bark,2.9,24
1,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,24.1,91,bark,3.3,23.5
2,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,24.1,91,bark,2.3,24
3,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,24.1,91,bark,2.75,25
1,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,33,98,bark,3.55,24.5
2,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,33,98,bark,3.1,24
3,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,33,98,bark,4.25,24
1,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,75.7,128,bark,4.1,24.5
2,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,75.7,128,bark,4.45,24.5
3,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,75.7,128,bark,4.9,25
1,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,26.6,91,bark,2.6,24.5
2,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,26.6,91,bark,2.4,24
3,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,26.6,91,bark,3,24.5
1,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,20.9,88,bark,2.3,24.5
2,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,20.9,88,bark,2.35,25
3,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,20.9,88,bark,1.75,25.5
1,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,27.4,91,bark,2.1,25
2,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,27.4,91,bark,2.15,25
3,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,27.4,91,bark,2.1,25.5
1,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,50.5,115,bark,3.7,25
2,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,50.5,115,bark,3.4,25
3,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,50.5,115,bark,3.4,25
1,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,33.1,92,bark,3.25,25
2,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,33.1,92,bark,3.5,25
3,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,33.1,92,bark,4,25.5
1,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,31,94,bark,2.6,25
2,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,31,94,bark,3.15,25
3,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,31,94,bark,2.7,25.5
1,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,38.3,102,bark,2.85,25
2,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,38.3,102,bark,2.95,25.5
3,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,38.3,102,bark,3.15,25
1,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,35.2,93,bark,3.05,24
2,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,35.2,93,bark,4.05,24
3,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,35.2,93,bark,3.6,24.5
1,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,29.8,91,bark,2.5,23.5
2,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,29.8,91,bark,2.65,24
3,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,29.8,91,bark,2.6,24
1,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,35,95,bark,2.5,24
2,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,35,95,bark,2.5,24.5
3,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,35,95,bark,2.5,24
1,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,38.4,99,bark,5.05,24
2,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,38.4,99,bark,3.8,24.5
3,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,38.4,99,bark,4.65,25
1,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,32.7,95,bark,2.8,24
2,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,32.7,95,bark,2.2,24
3,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,32.7,95,bark,2.8,24.5
1,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,29.1,96,bark,3.25,24
2,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,29.1,96,bark,2.95,24.5
3,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,29.1,96,bark,3,25
1,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,27.7,92,bark,2.7,25.5
2,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,27.7,92,bark,3.05,25
3,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,27.7,92,bark,2.65,24.5
1,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,26.6,90,bark,2.45,25
2,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,26.6,90,bark,2,25
3,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,26.6,90,bark,2,24.5
1,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,40.6,104,bark,3.3,24
2,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,40.6,104,bark,3.7,24.5
3,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,40.6,104,bark,4.1,25
1,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,32.3,98,bark,2.7,24
2,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,32.3,98,bark,3.65,24
3,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,32.3,98,bark,2.9,24
1,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,26.3,88,bark,3.5,24.5
2,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,26.3,88,bark,4.3,25
3,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,26.3,88,bark,2.7,25.5
1,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,30.9,94,bark,3.9,25.5
2,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,30.9,94,bark,3.25,25
3,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,30.9,94,bark,2.9,25
1,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,23.4,84,bark,2.2,24.5
2,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,23.4,84,bark,2.1,25
3,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,23.4,84,bark,2.55,25.5
1,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,24.8,97,bark,3.1,24.5
2,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,24.8,97,bark,3.1,25
3,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,24.8,97,bark,3.15,24.5
1,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,25.2,82,bark,1.2,25
2,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,25.2,82,bark,1.5,25
3,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,25.2,82,bark,1.45,25.5
1,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,38.3,108,bark,3.95,24
2,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,38.3,108,bark,3.4,24
3,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,38.3,108,bark,4.05,24
1,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,49,107,concrete,2.2,26
2,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,49,107,concrete,2.18,25
3,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,49,107,concrete,2.93,24
1,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,38.8,98,concrete,2.75,25
2,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,38.8,98,concrete,3.15,25.5
3,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,38.8,98,concrete,2.45,25.5
1,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,30.1,93,concrete,2.55,26
2,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,30.1,93,concrete,2.45,27.5
3,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,30.1,93,concrete,1.75,26.5
1,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,37.8,104,concrete,3.3,25
2,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,37.8,104,concrete,3,25.5
3,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,37.8,104,concrete,2.8,24.5
1,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,34.7,101,concrete,2.8,25.5
2,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,34.7,101,concrete,3.25,25.5
3,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,34.7,101,concrete,2.95,25.5
1,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,39.3,102,concrete,2.1,24.5
2,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,39.3,102,concrete,2.15,24.5
3,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,39.3,102,concrete,2.8,24.5
1,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,21.2,83,concrete,1.55,25
2,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,21.2,83,concrete,2.5,25
3,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,21.2,83,concrete,1.45,26
1,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,52.3,107,concrete,2.4,25.5
2,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,52.3,107,concrete,2.6,25.5
3,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,52.3,107,concrete,3.15,25.5
1,9.00E+14,7025,BW002,BW,n,N,nN,48.65329374,N1,N1.3,37,101,concrete,2.25,24.5
2,9.00E+14,7025,BW002,BW,n,N,nN,48.65329374,N1,N1.3,37,101,concrete,3.1,25.5
3,9.00E+14,7025,BW002,BW,n,N,nN,48.65329374,N1,N1.3,37,101,concrete,3.6,25.5
1,9.00E+14,10600,BW003,BW,n,N,nN,48.65329374,N1,N1.3,44.5,105,concrete,2.1,24.5
2,9.00E+14,10600,BW003,BW,n,N,nN,48.65329374,N1,N1.3,44.5,105,concrete,3.05,25
3,9.00E+14,10600,BW003,BW,n,N,nN,48.65329374,N1,N1.3,44.5,105,concrete,2.7,25
1,9.00E+14,10615,TZ003,TZ,u,N,uN,59.13762436,N1,N1.3,26.2,89,concrete,1.65,24.5
2,9.00E+14,10615,TZ003,TZ,u,N,uN,59.13762436,N1,N1.3,26.2,89,concrete,1.55,24
3,9.00E+14,10615,TZ003,TZ,u,N,uN,59.13762436,N1,N1.3,26.2,89,concrete,1.7,23.5
1,9.00E+14,10641,CG005,CG,u,N,uN,0.369364169,N1,N1.3,28.4,92,concrete,1.8,24.5
2,9.00E+14,10641,CG005,CG,u,N,uN,0.369364169,N1,N1.3,28.4,92,concrete,1.75,26.5
3,9.00E+14,10641,CG005,CG,u,N,uN,0.369364169,N1,N1.3,28.4,92,concrete,1.85,26
1,9.00E+14,7137,TZ007,TZ,u,N,uN,59.13762436,N2,N2.1,32.1,93,concrete,2.4,23
2,9.00E+14,7137,TZ007,TZ,u,N,uN,59.13762436,N2,N2.1,32.1,93,concrete,2.4,23.5
3,9.00E+14,7137,TZ007,TZ,u,N,uN,59.13762436,N2,N2.1,32.1,93,concrete,2.6,24
1,9.00E+14,7157,TZ011,TZ,u,N,uN,60.15863793,N2,N2.1,37.6,99,concrete,3.4,24.5
2,9.00E+14,7157,TZ011,TZ,u,N,uN,60.15863793,N2,N2.1,37.6,99,concrete,4,25
3,9.00E+14,7157,TZ011,TZ,u,N,uN,60.15863793,N2,N2.1,37.6,99,concrete,3.2,26
1,9.00E+14,7159,LN001,LN,n,N,nN,91.15343572,N2,N2.1,41.5,97,concrete,4.5,24.5
2,9.00E+14,7159,LN001,LN,n,N,nN,91.15343572,N2,N2.1,41.5,97,concrete,2.8,25
3,9.00E+14,7159,LN001,LN,n,N,nN,91.15343572,N2,N2.1,41.5,97,concrete,3.4,25
1,9.00E+14,7134,LN017,LN,n,N,nN,90.31310792,N2,N2.2,32.2,99,concrete,2.1,25
2,9.00E+14,7134,LN017,LN,n,N,nN,90.31310792,N2,N2.2,32.2,99,concrete,2.1,25
3,9.00E+14,7134,LN017,LN,n,N,nN,90.31310792,N2,N2.2,32.2,99,concrete,2.8,25.5
1,9.00E+14,7136,LN004,LN,n,N,nN,91.15343572,N2,N2.2,27.2,90,concrete,1.85,25
2,9.00E+14,7136,LN004,LN,n,N,nN,91.15343572,N2,N2.2,27.2,90,concrete,3.25,25.5
3,9.00E+14,7136,LN004,LN,n,N,nN,91.15343572,N2,N2.2,27.2,90,concrete,2,25.5
1,9.00E+14,7266,LN007,LN,n,N,nN,91.15343572,N2,N2.2,47.9,107,concrete,2.7,24
2,9.00E+14,7266,LN007,LN,n,N,nN,91.15343572,N2,N2.2,47.9,107,concrete,4.05,24.5
3,9.00E+14,7266,LN007,LN,n,N,nN,91.15343572,N2,N2.2,47.9,107,concrete,3.65,24.5
1,9.00E+14,7236,TZ009,TZ,u,N,uN,59.13762436,N2,N2.3,32.7,95,concrete,2.2,25.5
2,9.00E+14,7236,TZ009,TZ,u,N,uN,59.13762436,N2,N2.3,32.7,95,concrete,2.85,26.5
3,9.00E+14,7236,TZ009,TZ,u,N,uN,59.13762436,N2,N2.3,32.7,95,concrete,2.15,27.5
1,9.00E+14,7250,CG005,CG,u,N,uN,0.369364169,N2,N2.3,51.5,113,concrete,4.45,25
2,9.00E+14,7250,CG005,CG,u,N,uN,0.369364169,N2,N2.3,51.5,113,concrete,3.3,25.5
3,9.00E+14,7250,CG005,CG,u,N,uN,0.369364169,N2,N2.3,51.5,113,concrete,3.7,26
1,9.00E+14,10250,MB010,MB,u,N,uN,32.06530564,N2,N2.3,31.9,99,concrete,2.4,26.5
2,9.00E+14,10250,MB010,MB,u,N,uN,32.06530564,N2,N2.3,31.9,99,concrete,2.55,26
3,9.00E+14,10250,MB010,MB,u,N,uN,32.06530564,N2,N2.3,31.9,99,concrete,2,26
1,9.00E+14,10610,MB006,MB,u,N,uN,37.3077438,N2,N2.3,37.7,96,concrete,3.4,26.5
2,9.00E+14,10610,MB006,MB,u,N,uN,37.3077438,N2,N2.3,37.7,96,concrete,2.6,26.5
3,9.00E+14,10610,MB006,MB,u,N,uN,37.3077438,N2,N2.3,37.7,96,concrete,2.8,26.5
1,9.00E+14,7121,TZ007,TZ,u,N,uN,59.13762436,N3,N3.1,29.3,90,concrete,2.2,25.5
2,9.00E+14,7121,TZ007,TZ,u,N,uN,59.13762436,N3,N3.1,29.3,90,concrete,2.6,26
3,9.00E+14,7121,TZ007,TZ,u,N,uN,59.13762436,N3,N3.1,29.3,90,concrete,2.9,26
1,9.00E+14,7129,CG003,CG,u,N,uN,0.369364169,N3,N3.1,53.1,111,concrete,4,24.5
