dataset,id,mom_id,origin_site,urb_cat,sex,age,round,treat,x_treat,enclo,svl,forearm,hindlimb,foot
cross_foster,7005,CG005,CG,u,J,120,3,U,uU,U3,69,20.68,35.29,26.64
cross_foster,7005,CG005,CG,u,J,234,4,U,uU,U3,70,21.69,34.2,27.35
cross_foster,7005,CG005,CG,u,J,308,5,U,uU,U3,80,22.49,39.94,29.35
cross_foster,7005,CG005,CG,u,J,367,6,U,uU,U3,85,25.08,41.4,30.73
cross_foster,7016,CG001,CG,u,J,18,1,N,uN,N2,51,15.47,25.17,20.64
cross_foster,7016,CG001,CG,u,J,73,2,N,uN,N2,68,20.67,35.47,27.57
cross_foster,7016,CG001,CG,u,J,134,3,N,uN,N2,75,21.57,37.31,28.94
cross_foster,7016,CG001,CG,u,J,248,4,N,uN,N2,76,24.45,40.22,29.59
cross_foster,7016,CG001,CG,u,J,322,5,N,uN,N2,84,25.66,41.91,31.62
cross_foster,7016,CG001,CG,u,J,381,6,N,uN,N2,84,25.66,41.18,32.26
cross_foster,7124,CG001,CG,u,J,13,1,U,uU,U2,49.5,14.1,26.08,19.18
cross_foster,7124,CG001,CG,u,J,68,2,U,uU,U2,67,20.29,33.33,25.09
cross_foster,7124,CG001,CG,u,J,129,3,U,uU,U2,76,22.2,37.17,29.37
cross_foster,7124,CG001,CG,u,J,243,4,U,uU,U2,77,22.42,37.09,27.81
cross_foster,7124,CG001,CG,u,J,317,5,U,uU,U2,79,22.95,38.15,28.91
cross_foster,7124,CG001,CG,u,J,376,6,U,uU,U2,80,22.52,39.18,28.63
cross_foster,7129,CG003,CG,u,J,19,1,N,uN,N3,53,16.79,24.82,21.3
cross_foster,7129,CG003,CG,u,J,74,2,N,uN,N3,75,22.73,37.7,27.99
cross_foster,7129,CG003,CG,u,J,135,3,N,uN,N3,86,25.79,41.17,31.58
cross_foster,7129,CG003,CG,u,J,249,4,N,uN,N3,85,25.94,39.96,31.8
cross_foster,7129,CG003,CG,u,J,323,5,N,uN,N3,101,30.25,48.67,36.08
cross_foster,7129,CG003,CG,u,J,382,6,N,uN,N3,107,32.19,50.13,38.24
cross_foster,7143,CG001,CG,u,J,13,1,N,uN,N1,47,15.16,25.11,20.69
cross_foster,7143,CG001,CG,u,J,68,2,N,uN,N1,67,19.36,32.15,27.58
cross_foster,7143,CG001,CG,u,J,243,4,N,uN,N1,74,22.62,37.8,31.01
cross_foster,7143,CG001,CG,u,J,317,5,N,uN,N1,87,27.07,42.95,33.39
cross_foster,7143,CG001,CG,u,J,376,6,N,uN,N1,89,27.24,44.28,35.71
cross_foster,7146,CG003,CG,u,J,19,1,N,uN,N1,52,17.09,24.2,19.76
cross_foster,7146,CG003,CG,u,J,74,2,N,uN,N1,70,20.28,33.65,25.95
cross_foster,7146,CG003,CG,u,J,135,3,N,uN,N1,72,19.86,33.1,26.77
cross_foster,7146,CG003,CG,u,J,249,4,N,uN,N1,70,21.76,33.5,25.12
cross_foster,7146,CG003,CG,u,J,323,5,N,uN,N1,83,26.29,39.43,30.29
cross_foster,7146,CG003,CG,u,J,382,6,N,uN,N1,90,25.47,42.92,31.7
cross_foster,7148,CG003,CG,u,J,19,1,U,uU,U3,48,15.39,24.48,18.58
cross_foster,7166,CG001,CG,u,J,15,1,U,uU,U3,51.5,15.25,24.84,20.88
cross_foster,7166,CG001,CG,u,J,70,2,U,uU,U3,68,20.16,34.42,27.79
cross_foster,7166,CG001,CG,u,J,131,3,U,uU,U3,73,22.75,35.02,29.78
cross_foster,7166,CG001,CG,u,J,245,4,U,uU,U3,73,22.62,35.23,29.55
cross_foster,7166,CG001,CG,u,J,319,5,U,uU,U3,80,23.92,38.66,30.38
cross_foster,7166,CG001,CG,u,J,378,6,U,uU,U3,81,23.75,40.52,32.04
cross_foster,7182,CG001,CG,u,J,13,1,U,uU,U1,49,14.46,23.3,19.91
cross_foster,7193,CG003,CG,u,J,19,1,U,uU,U1,52,16.39,25.61,20.35
cross_foster,7193,CG003,CG,u,J,74,2,U,uU,U1,70,20.34,33.09,26.69
cross_foster,7193,CG003,CG,u,J,135,3,U,uU,U1,73,21.38,34.85,26.96
