order,pit,id,clutch,site,urb.cat,treat,cross.over,urban.index,enclo,tub,mass ,svl,endur,endur.temp,sprint.ms,sprint.bls,sprint.temp,grip.b,bark.temp,grip.c,conc.temp
1,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,26.7,99,127.7,28.6,1,10.1010101,28.6,2.9,24.5,2.2,26
2,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,26.7,99,153.3,28.8,1,10.1010101,28.8,3.4,25,2.18,25
3,9.00E+14,7013,LN001,LN,n,N,nN,91.15343572,N1,N1.1,26.7,99,152.1,27.7,1,10.1010101,27.7,3.45,25.5,2.93,24
1,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,24.1,91,97.6,29.9,1,10.98901099,29.9,2.45,24,2.75,25
2,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,24.1,91,113.4,29.4,1,10.98901099,29.4,2.45,24.5,3.15,25.5
3,9.00E+14,7143,CG001,CG,u,N,uN,0.369364169,N1,N1.1,24.1,91,140.2,28.8,0.909090909,9.99000999,28.8,2.1,25,2.45,25.5
1,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,19.5,93,121.9,30.3,1,10.75268817,30.3,3.15,24,2.55,26
2,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,19.5,93,133.7,29.6,1,10.75268817,29.6,2.1,25,2.45,27.5
3,9.00E+14,7146,CG003,CG,u,N,uN,0.369364169,N1,N1.1,19.5,93,97,29.7,1.111111111,11.9474313,29.7,2.9,25,1.75,26.5
1,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,29.2,100,127.6,28.6,1.25,12.5,28.6,3.05,24,3.3,25
2,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,29.2,100,136,28.8,1.428571429,14.28571429,28.8,3.05,24.5,3,25.5
3,9.00E+14,7186,LN014,LN,n,N,nN,90.31310792,N1,N1.1,29.2,100,94.6,29.1,1.428571429,14.28571429,29.1,2.75,24.5,2.8,24.5
1,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,26.2,96,101.3,30.1,1.428571429,14.88095238,30.1,2.75,23,2.8,25.5
2,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,26.2,96,129.3,29.3,1.666666667,17.36111111,29.3,2.45,23.5,3.25,25.5
3,9.00E+14,7153,MB004,MB,u,N,uN,37.3077438,N1,N1.2,26.2,96,128.9,28.8,1.428571429,14.88095238,28.8,3.15,23,2.95,25.5
1,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,27,95,167.5,30.2,1.111111111,11.69590643,30.2,3.05,23.5,2.1,24.5
2,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,27,95,193.1,29.6,1,10.52631579,29.6,3.15,24.5,2.15,24.5
3,9.00E+14,7265,LN009,LN,n,N,nN,91.15343572,N1,N1.2,27,95,178.3,27.9,0.909090909,9.56937799,27.9,3,25,2.8,24.5
1,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,14.3,78,75.5,28.8,1,12.82051282,28.8,2.35,24,1.55,25
2,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,14.3,78,98.1,29.5,1.111111111,14.24501425,29.5,2.6,24,2.5,25
3,9.00E+14,7280,TZ009,TZ,u,N,uN,59.13762436,N1,N1.2,14.3,78,96.1,29.9,1.111111111,14.24501425,29.9,2.25,24,1.45,26
1,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,24.3,95,74.4,31.1,1.111111111,11.69590643,31.1,4.1,24,2.4,25.5
2,9.00E+14,7292,LN006,LN,n,N,nN,91.15343572,N1,N1.2,24.3,95,98.4,29.3,1.428571429,15.03759398,29.3,3.65,25,2.6,25.5
